engine,engine_version,model_id,preprocessing,image_id,group_id,timestamp_seconds,tags,line_count,ground_truth,normalized_ground_truth,raw_output,normalized_output,edit_distance,reference_characters,exact_match,whitespace_free_edit_distance,whitespace_free_reference_characters,confidence,preprocessing_ms,inference_ms,total_ms,error
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g01_f01,g01,9.983333,short|one_line|light_background|moving_background,1,바로 빙결다리서폿인데,바로 빙결다리서폿인데,바로 빙결다리서롯인데,바로 빙결다리서롯인데,1,11,False,1,10,0.8501893877983093,2.03499999770429,17.36900000105379,19.405200000619516,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g01_f02,g01,10.0,short|one_line|light_background|moving_background,1,바로 빙결다리서폿인데,바로 빙결다리서폿인데,바로 빙결다리서롯인데,바로 빙결다리서롯인데,1,11,False,1,10,0.8295579552650452,1.9689999971888028,28.213099998538382,30.183899994881358,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g01_f03,g01,10.016667,short|one_line|light_background|moving_background,1,바로 빙결다리서폿인데,바로 빙결다리서폿인데,바로빙결다리서롯인데,바로빙결다리서롯인데,2,11,False,1,10,0.8469732403755188,1.9078999976045452,18.376800006080884,20.285899998270907,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g02_f01,g02,19.983333,short|one_line|light_background|moving_background|latin,1,1렙 e를 예상 못하는데,1렙 e를 예상 못하는데,1럽e를 예상 못하는데,1럽e를 예상 못하는데,2,13,False,1,10,0.9064335823059082,1.6900999980862252,17.326500004855916,19.017899998289067,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g02_f02,g02,20.0,short|one_line|light_background|moving_background|latin,1,1렙 e를 예상 못하는데,1렙 e를 예상 못하는데,1럽e를 예상 못하는데,1럽e를 예상 못하는데,2,13,False,1,10,0.9073634147644043,2.2084999945946038,27.445299994724337,29.65519999997923,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g02_f03,g02,20.016667,short|one_line|light_background|moving_background|latin,1,1렙 e를 예상 못하는데,1렙 e를 예상 못하는데,1럽e를 예상 못하는데,1럽e를 예상 못하는데,2,13,False,1,10,0.904217541217804,1.8325000055483542,18.990800002939068,20.82420000078855,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g03_f01,g03,93.983333,long|one_line|light_background|moving_background|jamo,1,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱ치긴한데 상대조합 따라 딴판해야할거같으면 블클 갑니다,선요우무도 ㄱ치긴한데 상대조합 따라 딴판해야할거같으면 블클 갑니다,2,36,False,2,30,0.9305130839347839,1.5659000055165961,20.503300002019387,22.07040000212146,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g03_f02,g03,94.0,long|one_line|light_background|moving_background|jamo,1,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱ치긴한데 상대조합 따라 딴판해야할거같으면 블클 갑니다,선요우무도 ㄱ치긴한데 상대조합 따라 딴판해야할거같으면 블클 갑니다,2,36,False,2,30,0.9306941628456116,2.314899997145403,25.91079999547219,28.227299997524824,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g03_f03,g03,94.016667,long|one_line|light_background|moving_background|jamo,1,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱㅊ긴한데 상대조합 따라 딴딴해야할거같으면 블클 갑니다,선요우무도 ㄱ치긴한데 상대조합 따라 딴판해야할거같으면 블클 갑니다,선요우무도 ㄱ치긴한데 상대조합 따라 딴판해야할거같으면 블클 갑니다,2,36,False,2,30,0.933356523513794,1.6208000015467405,16.64159999927506,18.263500001921784,
paddleocr,3.7.0,korean_PP-OCRv5_mobile_rec,contrast,g04_f01,g04,129.983333,medium|one_line|dark_background|combat_background|jamo,1,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,빙결마공점이 ㄹㅇ 로밍 영향력이 지림,빙결마공점이르로밍 영향력이 지림,빙결마공점이르로밍 영향력이 지림,4,20,False,2,16,0.8790555000305176,1.8359000023338012,22.50550000462681,24.34260000154609,
